query,intent,sentiment,detected_intent,detected_sentiment,summary
payment inquiry did not work as advertised,payment_inquiry,negative,payment_inquiry,negative,Payment inquiry didn't work as expected
product complaint has been a fantastic experience overall,product_complaint,positive,product_complaint,positive,Overall satisfaction with product experience
community feedback was a complete disaster and waste of time,community_feedback,negative,community_feedback,negative,Community feedback process was unsuccessful and frustrating
location inquiry has so many issues i regret using it,location_inquiry,negative,location_inquiry,negative,User has had a bad experience and regrets using the location inquiry service
educational feedback has made my life much easier and better,educational_feedback,positive,educational_feedback,positive,"The user has had a positive experience with educational feedback, stating that it has improved their life."
is there a manual or guide for job inquiry,job_inquiry,neutral,job_inquiry,neutral,Job inquiry query
really appreciate how efficient facility feedback has been,facility_feedback,positive,express_appreciation,positive,Appreciative feedback on facility feedback process
kudos to the team behind product inquiry,product_inquiry,positive,express_praise,positive,Expressing appreciation for the product inquiry team
the quality of event review is outstanding,event_review,positive,event_review,positive,The customer is very pleased with the event review
i absolutely love how location inquiry works for me,location_inquiry,positive,express_appreciation,positive,Expresses appreciation for location inquiry
complaint failed to meet even the basic expectations,complaint,negative,complaint,negative,Failed to meet expectations
how do i proceed with travel review,travel_review,neutral,travel_review,neutral,Request for information on reviewing travel experience
can you provide details about booking complaint,booking_complaint,neutral,booking_complaint,neutral,Request for information about a booking issue
